time,x,y,z,vx,vy,vz
227.24,422646.36704625905,-5362937.439847139,3415380.2076941654,-0.9437640832753007,8.323519924815322,12.44300307063987
227.26,422646.34816976875,-5362937.273368915,3415380.4565489,-0.9438806730588833,8.32500973056538,12.441997518913473
227.28,422646.3292909453,-5362937.1068608835,3415380.705383514,-0.9439972492327611,8.326499416278098,12.440991787787373
227.3,422646.31040978903,-5362936.940323048,3415380.9541980056,-0.9441138117952534,8.327988981931998,12.43998587727607
227.32,422646.29152630095,-5362936.773755409,3415381.202992369,-0.9442303607446793,8.3294784275056,12.43897978739407
227.34,422646.2726404817,-5362936.607157971,3415381.4517666027,-0.9443468960793582,8.330967752977429,12.437973518155877
227.36,422646.25375233125,-5362936.440530734,3415381.7005207017,-0.94446341779761,8.332456958326011,12.436967069576003
227.38,422646.23486184864,-5362936.273873704,3415381.949254663,-0.9445799258977544,8.333946043529872,12.435960441668957
227.4,422646.2159690363,-5362936.107186879,3415382.197968482,-0.9446964203781115,8.335435008567542,12.434953634449258
227.42,422646.1970738923,-5362935.940470264,3415382.4466621582,-0.9448129012370019,8.336923853417552,12.433946647931418
227.44,422646.1781764179,-5362935.773723863,3415382.6953356843,-0.9449293684727456,8.338412578058435,12.432939482129958
227.46,422646.15927661414,-5362935.606947673,3415382.9439890576,-0.9450458220836636,8.339901182468724,12.431932137059404
227.48,422646.1403744795,-5362935.440141703,3415383.1926222765,-0.9451622620680765,8.341389666626954,12.430924612734273
227.5,422646.12147001614,-5362935.273305951,3415383.4412353346,-0.9452786884243057,8.342878030511667,12.429916909169103
227.52,422646.1025632231,-5362935.106440421,3415383.689828231,-0.9453951011506725,8.344366274101397,12.428909026378417
227.54,422646.08365410176,-5362934.9395451145,3415383.9384009605,-0.9455115002454978,8.345854397374689,12.427900964376745
227.56,422646.06474265,-5362934.772620035,3415384.18695352,-0.9456278857071039,8.347342400310087,12.426892723178629
227.58,422646.0458288714,-5362934.605665184,3415384.4354859046,-0.9457442575338122,8.34883028288613,12.425884302798602
227.6,422646.026912764,-5362934.438680564,3415384.6839981135,-0.9458606157239449,8.350318045081368,12.424875703251207
227.62,422646.00799432915,-5362934.271666179,3415384.932490141,-0.9459769602758242,8.35180568687435,12.423866924550985
227.64,422645.9890735657,-5362934.104622029,3415385.180961983,-0.9460932911877727,8.353293208243624,12.422857966712481
227.66,422645.97015047516,-5362933.937548118,3415385.4294136385,-0.946209608458113,8.354780609167745,12.421848829750246
227.68,422645.95122505876,-5362933.770444447,3415385.6778451013,-0.9463259120851678,8.356267889625261,12.42083951367883
227.7,422645.9322973145,-5362933.603311021,3415385.92625637,-0.9464422020672603,8.357755049594731,12.419830018512785
227.72,422645.9133672437,-5362933.436147839,3415386.174647438,-0.9465584784027136,8.359242089054712,12.418820344266665
227.74,422645.89443484653,-5362933.268954907,3415386.4230183046,-0.9466747410898511,8.360729007983759,12.417810490955027
227.76,422645.87550012313,-5362933.101732224,3415386.671368966,-0.9467909901269964,8.362215806360435,12.416800458592439
227.78,422645.8565630751,-5362932.934479794,3415386.919699417,-0.9469072255124736,8.363702484163301,12.415790247193463
227.8,422645.83762369986,-5362932.767197621,3415387.168009655,-0.9470234472446064,8.365189041370924,12.41477985677266
